alarm_id,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00
CC24.Bin_BLeft_Full,0.0,0.0,384.449,0.0,149.414,0.0,584.452,0.0,0.0,0.0,86.037,0.0,0.0,0.0,0.0,118.137,0.0,0.0,0.0,0.0,191.283,0.0,0.0,0.0
CC24.Bin_BRight_Full,0.0,0.0,0.0,469.745,0.0,157.037,0.0,99.059,0.0,0.0,0.0,0.0,114.167,0.0,0.0,0.0,0.0,0.0,64.031,0.0,0.0,0.0,146.113,0.0
CC25.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.13,0.0
CC26.Bin_BLeft_Full,0.0,0.0,0.0,448.753,233.816,216.11900000000003,0.0,31.022,0.0,62.081,0.0,146.076,0.0,80.054,0.0,280.251,0.0,0.0,61.048,0.0,0.0,51.014,0.0,65.029
CC26.Bin_BRight_Full,0.0,0.0,0.0,300.484,77.109,160.111,442.232,219.21,0.0,0.0,70.018,0.0,178.123,0.0,0.0,80.075,0.0,100.071,0.0,0.0,1066.962,71.021,0.0,0.0
CC27.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC28.Bin_BLeft_Full,0.0,0.0,286.353,128.194,0.0,309.20799999999997,0.0,62.039,0.0,0.0,129.065,79.102,0.0,0.0,126.165,96.057,0.0,0.0,48.044,0.0,509.554,0.0,0.0,507.38
CC28.Bin_BRight_Full,0.0,0.0,0.0,210.4,6.99,204.149,1083.887,91.051,0.0,0.0,93.008,0.0,64.032,0.0,0.0,231.121,0.0,138.063,0.0,0.0,1481.93,37.035,0.0,59.044
CC29.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC30.Bin_BLeft_Full,0.0,0.0,60.191,126.138,0.0,174.127,232.151,215.668,287.745,0.0,186.135,0.0,75.061,0.0,0.0,249.128,0.0,0.0,0.0,0.0,198.128,58.066,0.0,0.0
CC30.Bin_BRight_Full,0.0,0.0,258.157,128.281,163.232,193.122,0.0,87.041,0.0,0.0,89.108,57.008,0.0,0.0,142.127,0.0,0.0,58.033,0.0,0.0,538.403,0.0,0.0,0.0
CC31.Bin_BRight_Full,0.0,0.0,208.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC32.Bin_BLeft_Full,0.0,0.0,308.339,15.016,104.032,0.0,0.0,90.116,0.0,20.037,106.09299999999999,295.221,143.087,289.205,387.257,273.213,399.273,76.041,75.005,183.271,393.461,81.025,0.0,300.25
CC32.Bin_BRight_Full,0.0,0.0,349.346,318.464,80.083,321.166,0.0,120.35900000000001,50.85,0.0,239.19799999999998,26.001,244.165,166.101,202.138,476.224,51.069,0.0,132.191,91.086,153.104,147.1,178.193,0.0
CC36.Bin_BLeft_Full,0.0,0.0,0.0,131.269,0.0,0.0,0.0,0.0,181.117,0.0,0.0,0.0,0.0,0.0,392.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC36.Bin_BRight_Full,0.0,0.0,1657.976,0.0,0.0,0.0,102.075,0.0,0.0,0.0,83.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC37.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.032,0.0,0.0,0.0
CC38.Bin_BLeft_Full,0.0,0.0,0.0,0.0,46.14,0.0,0.0,0.0,0.0,83.17999999999999,62.943,0.0,0.0,0.0,0.0,1110.716,0.0,0.0,0.0,0.0,273.16,0.0,0.0,0.0
CC38.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,169.111,0.0,0.0,0.0,82.078,121.046,0.0,0.0,74.439,282.84,0.0,0.0,58.033,0.0,0.0,0.0,0.0,0.0,0.0
CC39.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC40.Bin_BLeft_Full,0.0,0.0,341.368,543.863,240.279,219.264,0.0,312.307,0.0,46.038,89.065,81.101,24.361,334.899,210.20799999999997,862.391,847.879,0.0,236.162,133.042,56.023,168.127,979.835,67.869
CC40.Bin_BRight_Full,0.0,0.0,1779.852,273.364,111.167,0.0,154.077,247.258,103.084,0.0,217.237,187.116,373.23199999999997,70.075,192.155,200.156,228.167,0.0,123.032,59.031,153.34,735.383,0.0,141.2
CC41.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC42.Bin_BLeft_Full,0.0,0.0,212.149,234.357,0.0,58.105,0.0,97.094,0.0,0.0,99.077,0.0,0.0,201.214,70.023,0.0,72.036,0.0,105.094,51.072,79.034,73.043,0.0,65.052
CC42.Bin_BRight_Full,0.0,0.0,119.116,0.0,414.163,0.0,40.001,0.0,40.02,0.0,0.0,180.136,54.047,213.195,0.0,0.0,618.553,117.094,0.0,58.995,170.087,140.029,1017.962,132.842
CC43.Bin_BRight_Full,0.0,0.0,366.534,328.529,192.123,0.0,32.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.077,0.0,0.0,0.0,0.0,82.099
CC44.Bin_BLeft_Full,0.0,0.0,1489.579,118.156,0.0,151.125,58.009,380.443,0.0,0.0,134.088,74.002,0.0,286.172,141.15,305.947,53.436,0.0,85.068,150.16899999999998,85.282,489.273,883.361,184.676
CC44.Bin_BRight_Full,0.0,0.0,133.024,127.198,5.99,0.0,527.468,308.165,0.0,68.026,110.136,0.0,75.072,358.19899999999996,42.017,633.613,314.214,0.0,114.105,145.068,295.144,126.043,0.0,112.126
CC45.Bin_BRight_Full,0.0,0.0,0.0,182.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.071,0.0,0.0,0.0,165.047,0.0,0.0,0.0,0.0,0.0,248.224,0.0,0.0
CC46.Bin_BLeft_Full,0.0,21.666,666.175,69.18799999999999,191.736,118.056,374.246,251.39300000000003,76.902,40.012,0.0,366.406,790.748,551.2260000000001,282.16700000000003,611.1769999999999,663.055,40.03,0.0,227.172,366.049,726.881,192.623,420.719
CC46.Bin_BRight_Full,0.0,0.0,1652.957,83.502,321.645,75.049,218.10500000000002,469.374,20.016,0.0,412.452,98.015,433.279,204.07299999999998,405.35799999999995,654.712,234.167,88.063,105.032,237.23000000000002,102.048,75.04400000000001,1264.332,319.726
CC47.Bin_BRight_Full,0.0,0.0,0.0,378.464,0.0,307.19500000000005,0.0,0.0,0.0,43.037,0.0,95.066,0.0,0.0,0.0,269.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC48.Bin_BLeft_Full,0.0,0.0,93.074,0.0,0.0,0.0,75.021,627.429,0.0,0.0,0.0,275.196,0.0,41.991,209.121,340.299,370.283,0.0,89.075,136.106,154.138,279.193,44.024,0.0
CC48.Bin_BRight_Full,0.0,0.0,0.0,597.787,50.024,0.0,346.347,87.112,0.0,306.19,95.131,63.009,106.099,91.008,130.133,821.381,289.8,140.109,86.136,13.999,93.097,136.015,0.0,85.008
CC49.Bin_BRight_Full,0.0,0.0,160.193,180.249,64.094,71.096,0.0,11.993,0.0,0.0,122.098,0.0,156.045,0.0,0.0,28.997,0.0,0.0,99.055,0.0,0.0,246.124,0.0,0.0
CC50.Bin_BLeft_Full,0.0,0.0,330.25500000000005,688.9780000000001,434.818,107.094,414.467,462.663,210.918,248.212,260.194,204.138,190.077,452.356,196.108,1157.656,911.292,71.128,54.023,279.221,116.089,321.123,577.0,466.949
CC50.Bin_BRight_Full,0.0,146.09,550.6099999999999,676.953,174.18200000000002,348.26200000000006,351.279,381.329,102.093,58.032,247.13599999999997,273.183,411.246,242.185,517.418,1265.719,1325.596,0.0,193.166,133.13,202.18599999999998,655.499,232.12900000000002,60.029
CC51.Bin_BRight_Full,0.0,0.0,0.0,822.465,0.0,19.997,0.0,49.098,0.0,0.0,0.0,67.017,0.0,28.999,0.0,0.0,0.0,0.0,0.0,0.0,78.045,0.0,0.0,0.0
CC52.Bin_BLeft_Full,0.0,0.0,157.255,168.328,229.22899999999998,296.244,623.303,520.362,0.0,131.072,283.095,143.079,357.24,382.367,359.465,950.544,1122.969,50.003,110.036,218.188,40.032,245.126,255.129,397.361
CC52.Bin_BRight_Full,0.0,0.0,805.545,326.28,218.35399999999998,484.41700000000003,446.46,572.322,136.203,218.116,132.12,219.18900000000002,214.165,519.492,164.105,1177.5990000000002,1564.4479999999999,60.051,171.159,282.29400000000004,75.057,44.003,908.26,549.056
CC53.Bin_BRight_Full,0.0,0.0,0.0,108.246,54.04,303.217,40.03,535.489,0.0,0.0,64.017,67.003,171.062,0.0,62.041,0.0,0.0,0.0,0.0,0.0,98.085,368.38,0.0,0.0
CC54.Bin_BLeft_Full,0.0,0.0,322.628,291.49699999999996,190.486,267.71299999999997,45.495,428.456,70.036,0.0,191.09300000000002,96.101,268.183,87.034,425.362,603.53,157.112,70.038,291.233,143.102,140.029,1013.803,203.117,84.021
CC54.Bin_BRight_Full,0.0,0.0,519.379,119.22,273.25199999999995,30.055,227.626,282.681,0.0,89.114,121.021,251.17200000000003,214.21500000000003,373.20399999999995,247.06799999999998,477.486,835.676,0.0,62.03,150.082,230.11,47.009,721.477,643.391
CC55.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC56.Bin_BLeft_Full,0.0,0.0,0.0,128.223,0.0,77.151,46.018,472.989,139.739,0.0,124.152,54.05,71.018,81.15,92.94,0.0,80.059,0.0,0.0,46.07,277.155,234.29,0.0,0.0
CC56.Bin_BRight_Full,0.0,0.0,514.87,0.0,290.852,0.0,79.035,76.038,0.0,29.01,64.002,177.119,0.0,118.152,224.12,97.117,0.0,0.0,313.227,66.049,95.018,0.0,0.0,262.246
CC57.Bin_BRight_Full,0.0,0.0,279.25,42.143,0.0,113.07499999999999,0.0,103.017,0.0,0.0,42.037,68.056,0.0,0.0,55.052,0.0,0.0,0.0,261.174,0.0,90.028,0.0,44.985,0.0
CC58.Bin_BLeft_Full,0.0,0.0,613.665,68.157,121.179,122.045,286.20799999999997,373.176,122.034,97.027,134.055,184.321,173.915,124.083,218.178,513.87,832.175,131.035,137.11,316.429,366.28000000000003,629.365,513.269,89.124
CC58.Bin_BRight_Full,0.0,0.0,666.6990000000001,248.413,231.216,437.337,536.495,666.663,66.848,184.163,186.175,200.128,231.094,143.063,392.28499999999997,133.074,436.283,82.123,414.258,306.236,312.241,1285.249,595.472,81.102
CC59.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC60.Bin_BLeft_Full,0.0,0.0,339.474,241.265,363.252,112.124,241.175,457.36400000000003,0.0,179.162,141.068,104.107,153.14499999999998,160.10000000000002,149.658,197.13400000000001,776.026,107.109,95.135,298.157,570.637,649.539,473.395,334.211
CC60.Bin_BRight_Full,0.0,0.0,488.931,53.088,141.127,79.112,630.4,159.194,53.054,32.022,257.207,110.078,77.055,214.11,295.326,245.14600000000002,296.193,86.074,63.077,200.63099999999997,757.61,1090.69,807.602,0.0
CC61.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,94.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC62.Bin_BLeft_Full,0.0,0.0,462.521,643.022,153.144,133.103,146.16,552.386,0.0,56.015,237.153,140.106,379.247,327.246,336.497,155.108,268.153,227.169,120.098,230.14100000000002,520.473,185.052,404.223,363.21
CC62.Bin_BRight_Full,0.0,0.0,644.7090000000001,34.012,230.352,77.051,449.299,125.083,142.065,46.031,136.089,148.068,102.086,318.209,164.16000000000003,110.131,73.052,332.334,105.097,478.486,331.322,722.371,213.136,331.313
CC63.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,135.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC64.Bin_BLeft_Full,0.0,0.0,595.504,515.4060000000001,185.336,85.077,210.25900000000001,834.624,64.988,80.067,170.074,424.31699999999995,505.319,375.322,330.236,335.619,460.16400000000004,90.055,1510.154,237.66299999999998,1340.1509999999998,1033.357,485.273,105.065
CC64.Bin_BRight_Full,0.0,0.0,329.31100000000004,185.232,139.166,375.547,439.014,449.398,0.0,350.288,379.234,330.193,605.571,735.619,200.177,530.337,830.703,70.057,495.34799999999996,675.4979999999999,1326.668,947.349,544.52,775.586
CC65.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
