alarm_id,07:00_08:00_count,07:00_08:00_downtime,08:00_09:00_count,08:00_09:00_downtime,09:00_10:00_count,09:00_10:00_downtime,10:00_11:00_count,10:00_11:00_downtime,11:00_12:00_count,11:00_12:00_downtime,12:00_13:00_count,12:00_13:00_downtime,13:00_14:00_count,13:00_14:00_downtime,14:00_15:00_count,14:00_15:00_downtime,15:00_16:00_count,15:00_16:00_downtime,16:00_17:00_count,16:00_17:00_downtime,17:00_18:00_count,17:00_18:00_downtime,18:00_19:00_count,18:00_19:00_downtime,19:00_20:00_count,19:00_20:00_downtime,20:00_21:00_count,20:00_21:00_downtime,21:00_22:00_count,21:00_22:00_downtime,22:00_23:00_count,22:00_23:00_downtime,23:00_00:00_count,23:00_00:00_downtime,00:00_01:00_count,00:00_01:00_downtime,01:00_02:00_count,01:00_02:00_downtime,02:00_03:00_count,02:00_03:00_downtime,03:00_04:00_count,03:00_04:00_downtime,04:00_05:00_count,04:00_05:00_downtime,05:00_06:00_count,05:00_06:00_downtime,06:00_07:00_count,06:00_07:00_downtime
CC16.Bin_BRight_Full,1,0 days 00:00:56.049000,1,0 days 00:00:45.038000,0,0 days 00:00:00,1,0 days 00:02:30.150000,1,0 days 00:01:02.086000,2,0 days 00:04:20.283000,2,0 days 00:00:54.054999999,2,0 days 00:26:18.133000,0,0 days 00:02:51.053000,4,0 days 00:05:03.260000,2,0 days 00:05:40.746000,2,0 days 00:02:32.130000,6,0 days 00:12:43.312999999,2,0 days 00:08:43.630000,2,0 days 00:08:05.837000,2,0 days 00:02:13.089000,1,0 days 00:01:23.023000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC17.Bin_BLeft_Full,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC17.Bin_BRight_Full,1,0 days 00:09:23.561000,0,0 days 00:00:00,1,0 days 00:00:39.009000,1,0 days 00:00:43.038000,1,0 days 00:02:25.191000,1,0 days 00:02:01.054000,1,0 days 00:19:11.825000,1,0 days 00:10:16.685000,0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:03:41.352000,2,0 days 00:04:35.776000,1,0 days 00:01:28.265000,0,0 days 00:00:00,2,0 days 00:03:18.413000,1,0 days 00:05:15.520000,1,0 days 00:03:30.223000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC18.Bin_BLeft_Full,0,0 days 00:00:00,1,0 days 00:06:43.438000,2,0 days 00:01:53.053000,0,0 days 00:00:00,1,0 days 00:01:29.123000,1,0 days 00:01:38.037000,2,0 days 00:23:22.940000,1,0 days 00:10:41.918000,1,0 days 00:01:17.032000,0,0 days 00:00:00,1,0 days 00:01:24.044000,2,0 days 00:05:36.215000,0,0 days 00:00:00,1,0 days 00:01:14.410000,1,0 days 00:02:48.139000,1,0 days 00:02:29.024000,1,0 days 00:04:02.202000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC18.Bin_BRight_Full,1,0 days 00:03:01.195000,0,0 days 00:00:00,1,0 days 00:02:46.126000,1,0 days 00:01:27.096000,1,0 days 00:03:13.132000,1,0 days 00:11:07.955000,0,0 days 00:00:00,2,0 days 00:20:58.108000,0,0 days 00:00:00,1,0 days 00:01:32.047000,1,0 days 00:00:46.980000,1,0 days 00:03:41.345000,2,0 days 00:02:06.132000,1,0 days 00:01:19.257000,2,0 days 00:02:48.221000,1,0 days 00:03:47.726000,1,0 days 00:02:41.767000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC19.Bin_BLeft_Full,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC19.Bin_BRight_Full,1,0 days 00:01:18.015000,0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:00:53.070000,0,0 days 00:00:00,1,0 days 00:03:53.267000,1,0 days 00:11:31.836000,1,0 days 00:01:27.331000,1,0 days 00:01:31.279000,0,0 days 00:00:00,1,0 days 00:01:27.150000,1,0 days 00:01:00.070000,1,0 days 00:05:04.465000,1,0 days 00:00:38.075000,1,0 days 00:09:03.965000,1,0 days 00:00:50.064000,1,0 days 00:03:18.288000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC20.Bin_BLeft_Full,0,0 days 00:00:00,1,0 days 00:00:47.379000,0,0 days 00:00:00,1,0 days 00:01:05.087999999,1,0 days 00:02:47.212000,1,0 days 00:01:57.217000,1,0 days 00:08:37.413000,1,0 days 00:19:34.733000,1,0 days 00:02:27.176000,1,0 days 00:01:07.046000,1,0 days 00:00:23.019000,1,0 days 00:00:56.219000,2,0 days 00:05:42.443000,1,0 days 00:01:51.109000,2,0 days 00:03:42.192000,1,0 days 00:02:31.189000,1,0 days 00:07:53.465000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC20.Bin_BRight_Full,1,0 days 00:04:28.269000,0,0 days 00:00:00,1,0 days 00:01:32.203000,0,0 days 00:00:00,1,0 days 00:03:05.474000,1,0 days 00:03:02.305000,1,0 days 00:00:55.074000,1,0 days 00:31:33.372000,2,0 days 00:03:01.206000,0,0 days 00:00:00,1,0 days 00:04:09.125000,2,0 days 00:02:24.177000,1,0 days 00:14:57.283000,1,0 days 00:04:02.362000,2,0 days 00:03:12.151000,2,0 days 00:03:31.316000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC21.Bin_BLeft_Full,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
