alarm_id,trigger_count,total_downtime
CC55.Bin_BLeft_Full,0,0 days 00:00:00
CC55.Bin_BRight_Full,42,0 days 03:06:55.277000
CC56.Bin_BLeft_Full,61,0 days 04:52:14.110000
CC56.Bin_BRight_Full,64,0 days 04:18:15.870000
CC57.Bin_BLeft_Full,0,0 days 00:00:00
CC57.Bin_BRight_Full,45,0 days 02:55:09.676000
CC58.Bin_BLeft_Full,63,0 days 04:27:43.686000
CC58.Bin_BRight_Full,60,0 days 04:06:39.039000
CC59.Bin_BLeft_Full,0,0 days 00:00:00
CC59.Bin_BRight_Full,61,0 days 04:05:08.578000
CC60.Bin_BLeft_Full,63,0 days 05:33:28.833000
CC60.Bin_BRight_Full,74,0 days 04:27:21.345000
CC61.Bin_BLeft_Full,0,0 days 00:00:00
CC61.Bin_BRight_Full,44,0 days 03:23:01.450000
CC62.Bin_BLeft_Full,82,0 days 04:31:53.063000
CC62.Bin_BRight_Full,79,0 days 05:00:10.918000
CC63.Bin_BLeft_Full,0,0 days 00:00:00
CC63.Bin_BRight_Full,87,0 days 05:02:31.653000
CC64.Bin_BLeft_Full,69,0 days 03:49:53.251000
CC64.Bin_BRight_Full,74,0 days 04:19:26.055000
CC65.Bin_BLeft_Full,0,0 days 00:00:00
CC65.Bin_BRight_Full,84,0 days 03:42:12.576000
CC66.Bin_BLeft_Full,66,0 days 03:51:25.144000
CC66.Bin_BRight_Full,68,0 days 03:41:12.417000
CC67.Bin_BLeft_Full,0,0 days 00:00:00
CC67.Bin_BRight_Full,80,0 days 02:56:55.792000
CC68.Bin_BLeft_Full,81,0 days 04:59:17.477000
CC68.Bin_BRight_Full,82,0 days 04:25:42.151000
CC69.Bin_BLeft_Full,0,0 days 00:00:00
CC69.Bin_BRight_Full,86,0 days 04:56:04.683000
CC70.Bin_BLeft_Full,82,0 days 04:12:07.727000
CC70.Bin_BRight_Full,87,0 days 04:47:39.134000
CC71.Bin_BLeft_Full,0,0 days 00:00:00
CC71.Bin_BRight_Full,80,0 days 03:27:48.240000
CC72.Bin_BLeft_Full,1,0 days 00:09:09.770000
CC72.Bin_BRight_Full,0,0 days 00:00:00
CC73.Bin_BLeft_Full,0,0 days 00:00:00
CC73.Bin_BRight_Full,19,0 days 00:57:35.344000
CC74.Bin_BLeft_Full,4,0 days 00:06:15.516000
CC74.Bin_BRight_Full,3,0 days 00:10:05.311000
CC75.Bin_BLeft_Full,0,0 days 00:00:00
CC75.Bin_BRight_Full,66,0 days 04:22:51.781000
CC76.Bin_BLeft_Full,0,0 days 00:00:00
CC76.Bin_BRight_Full,0,0 days 00:00:00
CC77.Bin_BLeft_Full,0,0 days 00:00:00
CC77.Bin_BRight_Full,0,0 days 00:00:00
