point_id,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00
CC25.Bin_BRight,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,0,1,0,0,0,0,0,0
CC26.Bin_BLeft,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CC26.Bin_BRight,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CC27.Bin_BRight,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
CC28.Bin_BLeft,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CC28.Bin_BRight,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CC29.Bin_BRight,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
CC30.Bin_BLeft,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC30.Bin_BRight,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CC31.Bin_BRight,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
CC32.Bin_BLeft,0,0,0,3,1,1,1,1,3,2,3,1,1,2,1,1,1,1,1,1,1,0,2,3
CC32.Bin_BRight,0,0,1,2,1,1,1,3,1,3,3,1,1,1,1,1,2,1,0,1,1,1,3,2
CC36.Bin_BLeft,0,0,1,0,2,1,2,1,2,0,1,1,3,2,3,2,1,2,1,2,2,1,0,0
CC36.Bin_BRight,0,0,0,1,1,1,3,1,1,1,1,1,2,3,2,3,1,2,1,2,1,0,1,0
CC37.Bin_BRight,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1
CC38.Bin_BLeft,0,0,0,1,2,1,2,2,2,2,1,3,3,3,4,3,1,2,2,4,1,0,0,0
CC38.Bin_BRight,0,0,0,1,1,1,3,1,2,3,1,3,4,3,4,3,1,2,2,3,1,1,0,0
CC39.Bin_BRight,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
CC40.Bin_BLeft,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,2,0,0,1,1
CC40.Bin_BRight,0,0,1,1,1,2,1,0,1,1,2,1,0,1,1,1,1,2,1,1,1,2,1,1
CC41.Bin_BRight,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0
CC42.Bin_BLeft,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1
CC42.Bin_BRight,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1
CC43.Bin_BRight,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC44.Bin_BLeft,0,0,2,1,1,0,0,1,2,1,1,0,1,1,2,1,1,2,1,1,1,0,1,0
CC44.Bin_BRight,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,0
CC45.Bin_BRight,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CC46.Bin_BLeft,0,0,2,2,2,1,2,2,3,4,2,3,2,1,3,3,3,4,3,3,1,3,3,3
CC46.Bin_BRight,0,0,2,1,2,2,1,3,3,3,2,2,2,2,2,3,5,4,2,3,2,3,2,3
CC47.Bin_BRight,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
CC48.Bin_BLeft,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1
CC48.Bin_BRight,0,0,1,1,0,2,1,1,0,2,1,1,0,1,1,1,1,1,0,1,1,0,1,1
CC49.Bin_BRight,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC50.Bin_BLeft,0,0,2,2,3,2,3,2,4,5,4,4,4,2,2,4,4,2,5,2,1,3,1,4
CC50.Bin_BRight,0,0,3,2,2,3,2,3,3,4,3,6,3,3,3,4,2,5,5,2,2,2,2,4
CC51.Bin_BRight,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CC52.Bin_BLeft,0,0,3,1,3,1,2,2,3,3,4,3,2,2,3,4,3,4,4,3,2,2,3,3
CC52.Bin_BRight,0,0,3,2,2,2,1,3,3,3,4,2,3,2,3,3,5,4,3,4,1,3,2,3
CC53.Bin_BRight,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CC54.Bin_BLeft,0,0,3,2,2,2,1,2,1,4,3,3,2,1,2,1,3,3,2,2,2,2,3,2
CC54.Bin_BRight,0,0,3,2,2,2,1,1,2,3,5,1,2,2,1,2,3,2,3,0,2,2,2,3
CC55.Bin_BRight,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CC56.Bin_BLeft,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1
